iter	Passed	Remaining
0	322	379906
1	700	412315
2	1017	398873
3	1292	379723
4	1592	374023
5	1873	366249
6	2164	362432
7	2503	366436
8	2771	360235
9	3045	356054
10	3292	349603
11	3529	343224
12	3787	339681
13	4039	336166
14	4330	336010
15	4583	333181
16	4870	332905
17	5125	330598
18	5401	329774
19	5656	327786
20	5931	327088
21	6195	325840
22	6506	327034
23	6770	325813
24	7043	325118
25	7307	324051
26	7570	323008
27	7843	322440
28	8103	321356
29	8368	320512
30	8626	319446
31	8893	318783
32	9160	318135
33	9391	316258
34	9576	313016
35	9846	312634
36	10084	311243
37	10404	312397
38	10748	314195
39	11049	314642
40	11317	314140
41	11595	313913
42	11827	312472
43	12061	311121
44	12375	311852
45	12690	312560
46	12969	312373
47	13237	311899
48	13621	314125
49	13975	315568
50	14222	314561
51	14566	315702
52	15021	319133
53	15855	330318
54	16427	335714
55	16831	337522
56	17243	339419
57	17618	340520
58	17995	341611
59	18317	341627
60	18638	341609
61	18989	342118
62	19425	344108
63	19848	345804
64	20247	347010
65	20621	347746
66	20934	347445
67	21267	347478
68	21790	350545
69	22135	350685
70	22525	351530
71	23164	356147
72	23830	361050
73	24343	363502
74	24796	365002
75	25130	364727
76	25442	364125
77	25821	364480
78	26226	365173
79	26643	366008
80	27009	366134
81	27386	366381
82	27759	366563
83	28119	366554
84	28511	366956
85	28845	366605
86	29807	374141
