f1,f2,corr,abs_corr
feat_135,feat_196,1.0,1.0
feat_45,feat_294,1.0,1.0
feat_204,feat_324,1.0,1.0
feat_63,feat_246,1.0,1.0
feat_273,feat_291,1.0,1.0
feat_30,feat_77,1.0,1.0
feat_45,feat_158,1.0,1.0
feat_222,feat_267,1.0,1.0
feat_107,feat_168,1.0,1.0
feat_207,feat_262,1.0,1.0
feat_87,feat_141,1.0,1.0
feat_118,feat_154,1.0,1.0
feat_199,feat_345,1.0,1.0
feat_21,feat_36,1.0,1.0
feat_171,feat_330,1.0,1.0
feat_158,feat_294,1.0,1.0
feat_226,feat_324,1.0,1.0
feat_225,feat_342,1.0,1.0
feat_11,feat_26,1.0,1.0
feat_2,feat_19,1.0,1.0
feat_32,feat_335,1.0,1.0
feat_4,feat_138,1.0,1.0
feat_148,feat_208,1.0,1.0
feat_204,feat_226,0.9999999999999999,0.9999999999999999
feat_301,feat_315,0.9999999999999999,0.9999999999999999
feat_176,feat_257,0.9999999999999998,0.9999999999999998
feat_96,feat_144,0.9999999999999998,0.9999999999999998
feat_113,feat_201,0.9999999999999994,0.9999999999999994
feat_158,feat_262,0.9999999999999991,0.9999999999999991
feat_158,feat_207,0.9999999999999991,0.9999999999999991
feat_31,feat_113,0.9999999999999991,0.9999999999999991
feat_31,feat_201,0.999999999999999,0.999999999999999
feat_74,feat_340,0.999999999999999,0.999999999999999
feat_127,feat_141,0.999999999999998,0.999999999999998
feat_87,feat_127,0.999999999999998,0.999999999999998
feat_336,feat_349,0.9999999999999974,0.9999999999999974
feat_161,feat_254,0.999999999999997,0.999999999999997
feat_45,feat_262,0.9999999999999956,0.9999999999999956
feat_207,feat_294,0.9999999999999956,0.9999999999999956
feat_45,feat_207,0.9999999999999956,0.9999999999999956
feat_262,feat_294,0.9999999999999956,0.9999999999999956
feat_108,feat_234,0.9999999999999931,0.9999999999999931
feat_196,feat_236,0.9999999999999916,0.9999999999999916
feat_135,feat_236,0.9999999999999916,0.9999999999999916
feat_26,feat_347,0.9999999999999908,0.9999999999999908
feat_11,feat_347,0.9999999999999908,0.9999999999999908
feat_114,feat_252,0.9999999999999895,0.9999999999999895
feat_189,feat_267,0.9999999999999892,0.9999999999999892
feat_189,feat_222,0.9999999999999892,0.9999999999999892
feat_10,feat_184,0.999999999999989,0.999999999999989
